tweet,sentiment
The event starts at 5 PM.,neutral
I hate how this turned out.,negative
Fantastic experience!,positive
This is the worst thing ever!,negative
What a wonderful day!,positive
Great job by the team!,positive
It ruined my whole day.,negative
Just finished reading the article.,neutral
Today is Tuesday.,neutral
Really disappointed in the results.,negative
I'm so happy about the news!,positive
This update made my day!,positive
I'm sick of this happening.,negative
It’s cloudy outside.,neutral
Absolutely loved this!,positive
Such a terrible decision.,negative
Working from home again.,neutral
Sooo SAD I will miss you here in San Diego!!!,negative
my boss is bullying me...,negative
what interview! leave me alone,negative
http://www.dothebouncy.com/smf - some shameless plugging for the best Rangers forum on earth,neutral
2am feedings for the baby are fun when he is all smiles and coos,positive
Soooo high,neutral
Both of you,neutral
Journey!? Wow... u just became cooler.  hehe... (is that possible!?),positive
I really really like the song Love Story by Taylor Swift,positive
My Sharpie is running DANGERously low on ink,negative
i want to go to music tonight but i lost my voice.,negative
test test from the LG enV2,neutral
is back home now      gonna miss every one,negative
Hes just not that into you,neutral
Playing Ghost Online is really interesting. The new updates are Kirin pet and Metamorph for third job.  Can`t wait to have a dragon pet,positive
is cleaning the house for her family who is comming later today..,neutral
gotta restart my computer .. I thought Win7 was supposed to put an end to the constant rebootiness,neutral
SEe waT I Mean bOuT FoLL0w fRiiDaYs... It`S cALLed LoSe f0LloWeRs FridAy... smH,neutral
I`m sorry.,negative
On the way to Malaysia...no internet access to Twit,negative
Went to sleep and there is a power cut in Noida  Power back up not working too,negative
I`m going home now. Have you seen my new twitter design? Quite....heavenly isn`****?,positive
i hope unni will make the audition . fighting dahye unni !,positive
If it is any consolation I got my BMI tested hahaha it says I am obesed  well so much for being unhappy for about 10 minutes.,negative
That`s very funny.  Cute kids.,positive
Born and raised in NYC and living in Texas for the past 10 years!  I still miss NY,negative
i`m soooooo sleeeeepy!!! the last day o` school was today....sniffle....,negative
im an avid fan of **** magazine and i love your magazines,positive
MAYDAY?!,neutral
I love to! But I`m only available from 5pm.  and where dear? Would love to help  convert her vids.ï¿½,positive
The girl in the hair salon asked me 'Shall I trim your eyebrows!' How old do I feel?,neutral
egh blah and boooooooooooo i dunno wanna go to work  HANGOVERS SUCKKKKKK Im a drunk mess!,negative
:visiting my friendster and facebook,neutral
which case? I got a new one last week and I`m not thrilled at all with mine.,negative
Then you should check out http://twittersucks.com and connect with other tweeple who hate twitter,neutral
hm... Both of us I guess...,neutral
it is ****...u have dissappointed me that past few days,negative
romance zero is funny,positive
I`d rather do the early run..but I am a morning runner,neutral
Bah a coworker ran into work late and her bag smacked into my knee  it really hurts now,negative
will be back later.  http://plurk.com/p/rp3k7,neutral
Aw. Torn ace of hearts  #Hunchback,negative
what fun are you speaking of?,neutral
haha yes,neutral
I give in to easily,negative
What better way to spoil mum than to let her kick back and relax over a nice meal and a bottle of her favorite wine? Our wine was a red,positive
mannnn..... _ got an iphone!!! im jealous....  http://bit.ly/NgnaR,negative
Is at a photoshoot.,neutral
He`s awesome... Have you worked with him before? He`s a good friend.,positive
Yay playing a show tonight! Boo it`s gonna soggy and I`m at work right before playing,neutral
Chilliin,positive
I still smell of smoke  #kitchenfire,neutral
a celtics-lakers rematch sounds better don`t you think? lol,positive
she is good! so gor-juz yea i kno i asked her yesterday when we were at tha hospital if she talked to u and she said no,neutral
OK - I`m out of here for now. Just popped in to say Hi and check on things. I`ll probably head to the guttah later on tonight,neutral
My sources say no,neutral
I am sooo tired,negative
THANK YYYYYYYYYOOOOOOOOOOUUUUU!,positive
lucky kid...i so wanna see loserville  pity im in oz....,positive
fell asleep waiting for my ride!,neutral
Sick. With a flu like thing.,negative
Happy Star Wars day everyone! and Enjoy the holiday (UK),positive
Miles from you   I`m in Essex so give me plenty of warning so I can arrive in time to get at least one of those free beers.,neutral
i miss you bby      wish you were going tomorrow to make me do good.,negative
Well what im working on isn`t QUITE ready to post about publicly (still beta testing) but its a cool new script I coded,positive
SWEEEEET - San Fran is awesome!!!!  Love it there,positive
_Mounce yes and it lasts way past my bedtime!,neutral
Hi  how are you doing ???  *just joined twitter...*,neutral
waiting for sleeping pills to kick in... gonna be so tired at work tomorrow,negative
eating ice cream and then getting ready for graduation.,neutral
Happy Mothers day to all you Mums out there,positive
hemp cloth is marvelous but unfortunately no,negative
Gonna read a story bout adam lambert online then bed. Nighty night,neutral
We saw that in none 3D - the baddie`s the best,positive
4am. And Im on the beach. Pretty,positive
i realy wanted to go out cause its so nice but everybodys busy,negative
Awesome.  I`m down in Ocean Beach (if you know where that is.) By the way. 'YourBiggestFan' I`m a re-al big fan of you-rs.,positive
at least I get to watch over time  Let`s go Pens!!,neutral
cool i wear black most of the time when i go out,neutral
haha I do not know how to work blip apart from the obvious! thanks for reblipping my song  have a nice day ****,positive
have a safe trip joshy poo.......you`ll knock them dead at your speech,positive
if u have a friendster add me!!!!!!!!!        my email adress      add me  loco_crime_1st.com        add me leave some comment,neutral
has tickets.......?,neutral
ACSM. it`s unfathomable.  i think the other one .. and the .. is one that should be kept to the comfort of our bedrooms. yes?,neutral
So many tests todayyy  I don`t feel confident about anyy.,negative
graduation is done  im a little sad.. anyone want to hang out???,negative
hahaa your awesomee !,positive
holy smokes! star trek was freaking awesomeeeee,positive
What`s with the gloomy weather? The sun must be too tired to come out and play  heading to victoria gardens for some impulse buys haha,neutral
not well,negative
Not a prob hun,positive
Absolutely,neutral
what`s the matter chickadee?,neutral
hey mia!  totally adore your music.  when will your cd be out?,positive
=O you need to ask him something? Lmao I love him too,positive
those splinters look very painful...but you were being very heroic saving mr. Pickle,negative
why are you sad?,negative
Nice to see you tweeting!  It`s Sunday 10th May and we`re celebrating Mother`s Day here today. So be nice to yer Mom,positive
decided 2 trans frm relaxed 2 natural hair but i wish my whole head looked like my roots.  Age of the instant gratification....,positive
Namaskar & Namaste r both the same. Marathi people say Namaskar! its a marathi word.... should i ? ...naaaah !,neutral
Humous and Dorito`s.... Oh yes,neutral
Today is going to be a normal day for I hope. We had a group of pilots from a large airline come in last night so it was too much drink,neutral
Hate fighting,negative
Car-warmed Sprite tastes like sore throat,negative
Just came 11th in cross country and beat dumbo,neutral
Candle wax is very enjoyable.,positive
tomorrow valeria`s lunch!!! going to get my hair done but im arraving late   got my cousins babtizm or whatever you spell it,neutral
goooooddd morning tweets!!  week three OF my workout. did i mention i got my new glasses yesterday?!?,positive
me too. I hate my computer so much..,negative
fine! Going to do my big walk today 20 or so miles,positive
I WANT RED CRUISERS!!  i don`t like the other ones. LMFAO!,negative
Mmmmmmmm... ? it in the morning,neutral
me neither,neutral
Bugger. forgot I still have washing in my machine,negative
My back hurts...really bad,negative
Night of the cookers with my dad,neutral
My modem has been offline for a week now... God bless the 3g network. Tim just left... Again!! May schedule has been brutal,negative
Nope I am in Coquitlam,neutral
